id,description,name,category
1,An action-packed and thrilling performance that will have you rooting for the heroes,"Villain, The (Le Vilain)",Theater
2,A thought-provoking and meaningful performance that will leave you reflecting and considering new perspectives,Johnny Tremain,Theater
3,A hilarious and light-hearted performance that will have you laughing out loud,Mitchell,Theater
4,A powerful and inspiring performance that will leave you feeling uplifted and motivated,Spiral,Theater
5,A hilarious and light-hearted performance that will have you laughing out loud,"Piano in a Factory, The (Gang de qin)",Theater
6,A powerful and inspiring performance that will leave you feeling uplifted and motivated,White Bird in a Blizzard,Theater
7,A high-energy and lively performance that will have you dancing and singing along,Whisper of Sin (Nuodemes uzkalbejimas),Theater
8,A hilarious and light-hearted performance that will have you laughing out loud,Mad Love,Theater
9,An emotional and touching performance that will leave you feeling moved and moved,Ice Princess,Theater
10,A powerful and inspiring performance that will leave you feeling uplifted and motivated,Scrooge,Theater
11,A suspenseful and exciting performance that will keep you on the edge of your seat,Savage Grace,Theater
12,A powerful and inspiring performance that will leave you feeling uplifted and motivated,Satan's Blood (Escalofrío),Theater
13,A romantic and sweet performance that will have you swooning and dreaming of love,Brenda Starr,Theater
14,A romantic and heartwarming performance that will leave you feeling inspired and hopeful,Santa Sangre,Theater
15,An entertaining and uplifting performance that will have you laughing and smiling throughout,Godzilla vs. Megalon (Gojira tai Megaro),Theater
16,A romantic and heartwarming performance that will leave you feeling inspired and hopeful,"Card Player, The (Il cartaio)",Theater
17,An entertaining and uplifting performance that will have you laughing and smiling throughout,"Monuments Men, The",Theater
18,An emotional and touching performance that will leave you feeling moved and moved,"Same Love, Same Rain (El mismo amor, la misma lluvia)",Theater
19,An entertaining and uplifting performance that will have you laughing and smiling throughout,Flowers of Shanghai (Hai shang hua),Theater
20,A powerful and inspiring performance that will leave you feeling uplifted and motivated,"Rock-afire Explosion, The",Theater
21,An action-packed and thrilling performance that will have you rooting for the heroes,"Yank in the R.A.F., A",Theater
22,A hilarious and light-hearted performance that will have you laughing out loud,Slaughterhouse-Five,Theater
23,A romantic and sweet performance that will have you swooning and dreaming of love,Station West,Theater
24,An action-packed and thrilling performance that will have you rooting for the heroes,Trekkies 2,Theater
25,A powerful and inspiring performance that will leave you feeling uplifted and motivated,"Armstrong Lie, The",Theater
26,A powerful and inspiring performance that will leave you feeling uplifted and motivated,"Road, The",Theater
27,A high-energy and lively performance that will have you dancing and singing along,One Man Band,Theater
28,An action-packed and thrilling performance that will have you rooting for the heroes,"Unknown, The (a.k.a. Alonzo the Armless)",Theater
29,An emotional and touching performance that will leave you feeling moved and moved,Dragon Fist (Long quan),Theater
30,An entertaining and uplifting performance that will have you laughing and smiling throughout,Who Wants to Kill Jessie? (Kdo chce zabít Jessii?),Theater
31,An emotional and touching performance that will leave you feeling moved and moved,Scooby-Doo! The Mystery Begins,Theater
32,A romantic and sweet performance that will have you swooning and dreaming of love,Hollywood Shuffle,Theater
33,A romantic and sweet performance that will have you swooning and dreaming of love,Rio Grande,Theater
34,A suspenseful and exciting performance that will keep you on the edge of your seat,Imaginary Heroes,Theater
35,A suspenseful and exciting performance that will keep you on the edge of your seat,Chang: A Drama of the Wilderness,Theater
36,A romantic and heartwarming performance that will leave you feeling inspired and hopeful,Voyage to the End of the Universe (Ikarie XB 1),Theater
37,A thought-provoking and meaningful performance that will leave you reflecting and considering new perspectives,Twin Sitters,Theater
38,A thought-provoking and meaningful performance that will leave you reflecting and considering new perspectives,Too Shy to Try (Je suis timide... mais je me soigne),Theater
39,A romantic and heartwarming performance that will leave you feeling inspired and hopeful,Another Year,Theater
40,A powerful and inspiring performance that will leave you feeling uplifted and motivated,They Gave Him A Gun,Theater
41,An action-packed and thrilling performance that will have you rooting for the heroes,"Iceberg, L'",Theater
42,An entertaining and uplifting performance that will have you laughing and smiling throughout,"Juror, The",Theater
43,A suspenseful and exciting performance that will keep you on the edge of your seat,Immortel (ad vitam) (Immortal),Theater
44,A high-energy and lively performance that will have you dancing and singing along,Holiday Spin,Theater
45,An entertaining and uplifting performance that will have you laughing and smiling throughout,Diaries Notes and Sketches (Walden),Theater
46,An emotional and touching performance that will leave you feeling moved and moved,Bullet Ballet,Theater
47,A suspenseful and exciting performance that will keep you on the edge of your seat,My Best Enemy (Mi mejor enemigo),Theater
48,A romantic and sweet performance that will have you swooning and dreaming of love,Marooned,Theater
49,A romantic and heartwarming performance that will leave you feeling inspired and hopeful,Resident Evil: Afterlife,Theater
50,A hilarious and light-hearted performance that will have you laughing out loud,"Largo Winch (Heir Apparent: Largo Winch, The)",Theater
51,An action-packed and thrilling performance that will have you rooting for the heroes,Come Drink with Me (Da zui xia),Theater
52,A powerful and inspiring performance that will leave you feeling uplifted and motivated,Stalingrad,Theater
53,An action-packed and thrilling performance that will have you rooting for the heroes,"Hoax, The",Theater
54,A thought-provoking and meaningful performance that will leave you reflecting and considering new perspectives,Victory Through Air Power,Theater
55,A romantic and sweet performance that will have you swooning and dreaming of love,Carcasses,Theater
56,An action-packed and thrilling performance that will have you rooting for the heroes,"Fireman, The",Theater
57,A suspenseful and exciting performance that will keep you on the edge of your seat,Is Anybody There?,Theater
58,A powerful and inspiring performance that will leave you feeling uplifted and motivated,Map of the Human Heart,Theater
59,A high-energy and lively performance that will have you dancing and singing along,"City of No Limits, The (la ciudad sin límites, En)",Theater
60,A suspenseful and exciting performance that will keep you on the edge of your seat,Sunny (Sseo-ni),Theater
61,A powerful and inspiring performance that will leave you feeling uplifted and motivated,30 Years to Life,Theater
62,A thought-provoking and meaningful performance that will leave you reflecting and considering new perspectives,Dragonfly,Theater
63,An entertaining and uplifting performance that will have you laughing and smiling throughout,Blood Diamond,Theater
64,A high-energy and lively performance that will have you dancing and singing along,Fearful Symmetry: The Making of 'To Kill a Mockingbird',Theater
65,A romantic and sweet performance that will have you swooning and dreaming of love,Hold Back the Dawn,Theater
66,A hilarious and light-hearted performance that will have you laughing out loud,Duets,Theater
67,A high-energy and lively performance that will have you dancing and singing along,Annabel Takes a Tour (Annabel Takes a Trip),Theater
68,A high-energy and lively performance that will have you dancing and singing along,"Man - Woman Wanted (Poszukiwany, poszukiwana)",Theater
69,A romantic and sweet performance that will have you swooning and dreaming of love,Sherlock Holmes: The Woman in Green,Theater
70,A high-energy and lively performance that will have you dancing and singing along,Urbania,Theater
71,A powerful and inspiring performance that will leave you feeling uplifted and motivated,Ethel,Theater
72,An entertaining and uplifting performance that will have you laughing and smiling throughout,Barcelona,Theater
73,An emotional and touching performance that will leave you feeling moved and moved,"Hound of the Baskervilles, The",Theater
74,An action-packed and thrilling performance that will have you rooting for the heroes,"Abandoned, The",Theater
75,A thought-provoking and meaningful performance that will leave you reflecting and considering new perspectives,10 Things I Hate About You,Theater
76,An action-packed and thrilling performance that will have you rooting for the heroes,RiP: A Remix Manifesto,Theater
77,A romantic and sweet performance that will have you swooning and dreaming of love,2:37,Theater
78,A romantic and sweet performance that will have you swooning and dreaming of love,Four Rooms,Theater
79,A suspenseful and exciting performance that will keep you on the edge of your seat,Mixed Nuts,Theater
80,A thought-provoking and meaningful performance that will leave you reflecting and considering new perspectives,Ringu 2 (Ring 2),Theater
81,A romantic and heartwarming performance that will leave you feeling inspired and hopeful,"Hudsucker Proxy, The",Theater
82,A suspenseful and exciting performance that will keep you on the edge of your seat,"Wood, The",Theater
83,An emotional and touching performance that will leave you feeling moved and moved,Tobruk,Theater
84,A romantic and sweet performance that will have you swooning and dreaming of love,Becoming Jane,Theater
85,A powerful and inspiring performance that will leave you feeling uplifted and motivated,Noam Chomsky: Distorted Morality,Theater
86,A romantic and heartwarming performance that will leave you feeling inspired and hopeful,Double Happiness,Theater
87,A powerful and inspiring performance that will leave you feeling uplifted and motivated,Pulling John,Theater
88,A romantic and sweet performance that will have you swooning and dreaming of love,The First Men in the Moon,Theater
89,A suspenseful and exciting performance that will keep you on the edge of your seat,Nice Guys Sleep Alone,Theater
90,An emotional and touching performance that will leave you feeling moved and moved,"Howards of Virginia, The",Theater
91,An emotional and touching performance that will leave you feeling moved and moved,"Net, The",Theater
92,A powerful and inspiring performance that will leave you feeling uplifted and motivated,Still Alice,Theater
93,A romantic and heartwarming performance that will leave you feeling inspired and hopeful,"Mating Game, The",Theater
94,An entertaining and uplifting performance that will have you laughing and smiling throughout,"House of Exorcism, The (a.k.a. Lisa and the Devil) (Casa dell'esorcismo, La)",Theater
95,A powerful and inspiring performance that will leave you feeling uplifted and motivated,Scott of the Antarctic,Theater
96,A high-energy and lively performance that will have you dancing and singing along,Suspect Zero,Theater
97,A powerful and inspiring performance that will leave you feeling uplifted and motivated,"Wave, The (Welle, Die)",Theater
98,An action-packed and thrilling performance that will have you rooting for the heroes,Yu-Gi-Oh!,Theater
99,A suspenseful and exciting performance that will keep you on the edge of your seat,Skeleton Crew,Theater
100,A suspenseful and exciting performance that will keep you on the edge of your seat,"Good Fairy, The",Theater
101,An action-packed and thrilling performance that will have you rooting for the heroes,Flags of Our Fathers,Theater
102,A suspenseful and exciting performance that will keep you on the edge of your seat,Tinpis Run,Theater
103,A hilarious and light-hearted performance that will have you laughing out loud,Cockfighter,Theater
104,A suspenseful and exciting performance that will keep you on the edge of your seat,Deadline,Theater
105,A romantic and heartwarming performance that will leave you feeling inspired and hopeful,"Mysterious Island, The",Theater
106,A high-energy and lively performance that will have you dancing and singing along,"Ideal Husband, An",Theater
107,A thought-provoking and meaningful performance that will leave you reflecting and considering new perspectives,Quo Vadis,Theater
108,An action-packed and thrilling performance that will have you rooting for the heroes,"Red Violin, The (Violon rouge, Le)",Theater
109,A romantic and heartwarming performance that will leave you feeling inspired and hopeful,Cry Freedom,Theater
